id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
767,4,3,2,2,6,3,,,,,,,wb3,"2023-11-24 15:00:03"
768,4,3,2,2,6,3,,,,,,,wb3,"2023-11-24 15:00:43"
778,3,2,6,6,5,4,4,1,3,3,3,3,wbp,"2023-11-24 16:56:39"
779,4,3,6,3,3,4,3,3,5,3,5,6,wbp,"2023-11-24 16:56:56"
780,6,6,6,6,6,6,6,6,6,6,6,6,wbp,"2023-11-24 16:57:00"
781,3,4,6,5,5,5,3,3,4,3,4,4,wbp,"2023-11-24 16:57:12"
782,4,2,6,6,5,5,2,2,6,3,4,5,wbp,"2023-11-24 16:57:15"
783,0,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 16:57:37"
784,0,5,0,1,0,0,0,0,6,1,0,0,wbp,"2023-11-24 16:57:54"
785,0,0,0,5,0,6,0,0,0,0,0,0,wbp,"2023-11-24 16:58:04"
786,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:05"
787,6,0,0,0,0,0,0,0,0,0,6,0,wbp,"2023-11-24 16:58:11"
788,4,1,5,6,3,3,2,1,4,1,5,3,wbp,"2023-11-24 16:58:15"
789,0,0,0,0,6,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:16"
790,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:26"
791,0,0,0,0,0,0,6,6,6,0,0,0,wbp,"2023-11-24 16:58:31"
792,6,6,6,6,6,5,6,6,6,6,6,6,wbp,"2023-11-24 16:58:35"
793,0,0,0,0,0,6,0,0,0,0,0,0,wbp,"2023-11-24 16:58:36"
794,2,3,5,5,5,2,2,3,5,3,3,2,wbp,"2023-11-24 16:58:37"
795,2,1,6,5,5,3,2,2,6,1,2,4,wbp,"2023-11-24 16:58:37"
796,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:38"
797,5,6,0,0,0,0,0,0,0,6,6,0,wbp,"2023-11-24 16:58:39"
798,5,4,5,6,5,4,5,6,6,3,4,3,wbp,"2023-11-24 16:58:40"
799,6,0,6,4,4,0,0,0,0,0,6,4,wbp,"2023-11-24 16:58:42"
800,0,6,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:43"
801,4,1,6,2,3,4,5,3,4,2,4,4,wbp,"2023-11-24 16:58:44"
802,1,0,0,0,0,0,0,0,0,0,0,6,wbp,"2023-11-24 16:58:49"
803,3,3,6,6,1,2,1,1,1,6,6,1,wbp,"2023-11-24 16:58:50"
804,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:58:52"
805,0,0,0,0,5,0,6,0,0,6,0,0,wbp,"2023-11-24 16:58:55"
806,5,3,6,5,4,3,4,3,6,4,6,6,wbp,"2023-11-24 16:58:55"
807,0,0,0,0,0,0,0,0,6,0,0,0,wbp,"2023-11-24 16:59:01"
808,3,1,5,4,5,3,6,3,3,2,5,6,wbp,"2023-11-24 16:59:02"
809,0,0,6,0,0,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:06"
810,5,3,5,6,6,6,3,3,3,1,1,5,wbp,"2023-11-24 16:59:10"
811,0,0,0,0,0,0,0,0,0,0,5,6,wbp,"2023-11-24 16:59:15"
812,2,5,4,5,3,5,1,1,3,1,1,2,wbp,"2023-11-24 16:59:17"
813,0,0,0,0,6,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:19"
814,0,0,6,0,3,0,0,0,0,0,0,0,wbp,"2023-11-24 16:59:22"
815,6,0,6,0,0,0,0,0,0,0,0,4,wbp,"2023-11-24 16:59:24"
